longitude_50,latitude_50
113.64,22.86
113.66,22.84
113.68,22.82
113.7,22.8
113.72,22.780003
113.74,22.760002
113.759995,22.740002
113.78,22.720001
113.8,22.7
113.82,22.68
113.84,22.66
113.86,22.64
113.880005,22.619999
113.899994,22.600002
113.92,22.580002
113.94,22.560001
113.96,22.54
113.979996,22.52
114.0,22.5
114.020004,22.48
114.04,22.46
114.06,22.440002
114.08,22.420002
114.1,22.400002
114.119995,22.380001
114.14,22.36
114.16,22.34
114.18,22.32
114.2,22.3
114.22,22.280003
114.24,22.260002
114.259995,22.240002
114.28,22.220001
114.3,22.2
114.32,22.18
114.34,22.16
114.36,22.14
114.380005,22.120003
114.399994,22.100002
114.42,22.080002
114.44,22.060001
114.46,22.04
114.479996,22.02
114.5,22.0
114.520004,21.98
114.54,21.96
114.56,21.940002
114.58,21.920002
114.6,21.900002
114.619995,21.880001
